epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0539,1.46103,3.39789,1.61995,0.80799,0.15827,0.48013,0.30079,1.5529,2.8012,1.72968,0.00332635,0.00332635,0.00332635
2,101.853,1.46659,2.72267,1.58496,0.71119,0.20356,0.45987,0.2849,1.747,2.51626,2.00279,0.00659375,0.00659375,0.00659375
3,148.907,1.58816,2.63168,1.70159,0.61858,0.11868,0.36501,0.19836,2.06092,2.68956,2.24165,0.00979515,0.00979515,0.00979515
4,195.333,1.7048,2.67356,1.83013,0.67155,0.06336,0.36844,0.22968,1.86664,2.62643,2.12489,0.009703,0.009703,0.009703
5,241.841,1.64305,2.47999,1.77464,0.80072,0.18034,0.49542,0.28972,1.87319,2.55715,2.19762,0.009604,0.009604,0.009604
6,288.329,1.57878,2.31867,1.73401,0.7268,0.20406,0.47072,0.2946,1.68908,2.1351,1.91868,0.009505,0.009505,0.009505
7,335.142,1.51815,2.17183,1.67575,0.90395,0.20552,0.5542,0.38848,1.59254,1.79137,1.80555,0.009406,0.009406,0.009406
8,381.553,1.49267,2.08064,1.64572,0.87626,0.26748,0.5762,0.3848,1.61174,1.79413,1.86396,0.009307,0.009307,0.009307
9,430.229,1.45551,1.98179,1.61723,0.87732,0.33186,0.61424,0.43069,1.4735,1.60695,1.74071,0.009208,0.009208,0.009208
10,478.447,1.42014,1.89947,1.58598,0.93158,0.3421,0.64182,0.45959,1.47352,1.51253,1.70693,0.009109,0.009109,0.009109
11,523.388,1.39082,1.86118,1.57217,0.93026,0.31571,0.62734,0.46065,1.45527,1.4759,1.67979,0.00901,0.00901,0.00901
12,572.701,1.36988,1.80641,1.54478,0.90206,0.37773,0.64776,0.4664,1.40912,1.39747,1.62797,0.008911,0.008911,0.008911
13,623.234,1.34239,1.72566,1.522,0.88529,0.38408,0.63795,0.44795,1.40001,1.45096,1.63041,0.008812,0.008812,0.008812
14,673.489,1.33053,1.70245,1.51196,0.9368,0.37063,0.65934,0.47179,1.39866,1.3302,1.62879,0.008713,0.008713,0.008713
15,720.064,1.3029,1.62702,1.48868,0.92421,0.39798,0.66924,0.48827,1.38436,1.29623,1.61254,0.008614,0.008614,0.008614
